Source;Target;Type;Weight
0;20;Undirected;0.0245902
0;30;Undirected;0.0122951
1;3;Undirected;0.022541
1;6;Undirected;0.0245902
1;10;Undirected;0.0266393
1;11;Undirected;0.0266393
1;12;Undirected;0.0245902
1;13;Undirected;0.0307377
1;14;Undirected;0.0266393
1;15;Undirected;0.0512295
2;10;Undirected;0.0143443
2;11;Undirected;0.0143443
2;12;Undirected;0.0122951
2;13;Undirected;0.0184426
2;14;Undirected;0.0143443
2;15;Undirected;0.155738
3;6;Undirected;0.0143443
3;10;Undirected;0.0163934
3;11;Undirected;0.0163934
3;12;Undirected;0.0143443
3;13;Undirected;0.0204918
3;14;Undirected;0.0163934
3;15;Undirected;0.0409836
4;17;Undirected;0.0143443
4;49;Undirected;0.0102459
5;10;Undirected;0.0204918
5;15;Undirected;0.135246
5;16;Undirected;0.045082
6;10;Undirected;0.0184426
6;11;Undirected;0.0184426
6;12;Undirected;0.0163934
6;13;Undirected;0.022541
6;14;Undirected;0.0184426
6;15;Undirected;0.0860656
7;15;Undirected;0.045082
10;11;Undirected;0.0409836
10;12;Undirected;0.0184426
10;13;Undirected;0.0245902
10;14;Undirected;0.0204918
10;15;Undirected;0.135246
11;12;Undirected;0.0184426
11;13;Undirected;0.0245902
11;14;Undirected;0.0204918
11;15;Undirected;0.0901639
12;13;Undirected;0.045082
12;14;Undirected;0.0368852
12;15;Undirected;0.0860656
13;14;Undirected;0.0491803
13;15;Undirected;0.0983607
14;15;Undirected;0.0901639
15;16;Undirected;0.0471311
15;30;Undirected;0.0409836
17;18;Undirected;0.0122951
17;19;Undirected;0.0122951
17;49;Undirected;0.0122951
20;30;Undirected;0.0245902
22;26;Undirected;0.0266393
22;27;Undirected;0.0368852
22;28;Undirected;0.0266393
22;29;Undirected;0.0266393
22;32;Undirected;0.022541
22;36;Undirected;0.022541
23;28;Undirected;0.0184426
23;32;Undirected;0.0143443
24;33;Undirected;0.0368852
24;37;Undirected;0.0245902
24;38;Undirected;0.0266393
24;39;Undirected;0.0245902
24;41;Undirected;0.0245902
25;35;Undirected;0.0266393
26;27;Undirected;0.0307377
26;28;Undirected;0.0204918
26;29;Undirected;0.0204918
26;32;Undirected;0.0163934
26;36;Undirected;0.0163934
27;28;Undirected;0.0307377
27;29;Undirected;0.0307377
27;32;Undirected;0.0266393
27;36;Undirected;0.0266393
28;29;Undirected;0.0204918
28;32;Undirected;0.0327869
28;36;Undirected;0.0163934
29;32;Undirected;0.0163934
29;36;Undirected;0.0163934
31;46;Undirected;0.0122951
32;36;Undirected;0.0122951
33;37;Undirected;0.0245902
33;38;Undirected;0.0266393
33;39;Undirected;0.0245902
33;41;Undirected;0.0245902
34;35;Undirected;0.0204918
34;40;Undirected;0.0163934
35;40;Undirected;0.0163934
37;38;Undirected;0.0143443
37;39;Undirected;0.0122951
37;41;Undirected;0.0122951
38;39;Undirected;0.0143443
38;41;Undirected;0.0143443
39;41;Undirected;0.0122951
45;48;Undirected;0.0102459
