Id;Label
0;Профессионально(UK-4)
1;Объектно-ориент(PK-2,PK-5)
2;Разработка и ан(PK-11,PK-12,PK-13,PK-3)
3;Разработка Web-(PK-5)
4;Методы анализа (UK-1)
5;Инженерия требо(PK-14,PK-15,PK-16,PK-17,PK-18)
6;Проектирование (PK-1,PK-4,PK-5)
7;Тестирование пр(PK-10,PK-6,PK-7,PK-8,PK-9)
8;Основы профилак(UK-10)
9;Экономическая к(UK-9)
10;Теория вычислит(PK-13,PK-14,PK-5)
11;Нейронные сети (PK-13,PK-5)
12;Методы оптимиза(PK-11,PK-5)
13;Модели и методы(PK-11,PK-5)
14;Системы искусст(PK-11,PK-5)
15;Командный проек(PK-11,PK-12,PK-13,PK-14,PK-15,PK-17,PK-3,PK-4,PK-5,PK-7,UK-3)
16;Бакалаврский се(PK-17,PK-18)
17;Философия(UK-1,UK-5,UK-6)
18;История России(UK-5)
19;Всеобщая истори(UK-5)
20;Ин Яз(UK-4)
21;БЖД(UK-8)
22;Физика(OPK-1)
23;Информатика(OPK-7)
24;Основы программ(OPK-6)
25;Проф деят(OPK-2,OPK-4,UK-2)
26;Алгебра и геоме(OPK-1)
27;Мат Анализ(OPK-1)
28;Дискретная мате(OPK-1,OPK-7)
29;Теория вероятно(OPK-1)
30;Эффектив реч общ(UK-3,UK-4)
31;ИБЗИ(OPK-3)
32;Математическая (OPK-1,OPK-7)
33;Алгоритмы и стр(OPK-6)
34;БД(OPK-8)
35;Технологии анал(OPK-2,OPK-8)
36;ТАЯВ(OPK-1)
37;Основы функцион(OPK-6)
38;Машинно-зависим(OPK-6)
39;Разработка моби(OPK-6)
40;Разработка корп(OPK-8)
41;Системное прогр(OPK-6)
42;Физ культ(UK-7)
43;Прик Физ культ(UK-7)
44;Часть, формируе()
45;Ознакомительная(OPK-5)
46;Научно-исследов(OPK-3)
47;Модуль 1()
48;Архитектура выч(OPK-5)
49;Основы системны(UK-1)
