Id;Label
0;Общие принципы (PK-1,UK-2)
1;Основы устройст(PK-1,UK-2)
2;Качество и наде(PK-1,PK-5,UK-1,UK-4)
3;Основы электрич(PK-1,UK-1,UK-2)
4;Физические осно(PK-1,UK-2)
5;Надежность и ди(PK-1,PK-2,PK-5)
6;Системы ориента(PK-1)
7;Системы терморе(PK-1)
8;Двигательные ус(PK-1)
9;Проектирование (PK-1,PK-4,UK-2)
10;Научно-исследов(OPK-8,PK-1,PK-6)
11;Основы системно(UK-1,UK-2)
12;Методология нау(OPK-8,UK-1,UK-6)
13;Проблемы управл(OPK-1,OPK-2,OPK-3,OPK-6,OPK-9)
14;Патентование об(OPK-5,UK-1,UK-3)
15;Ин Яз(UK-4,UK-5)
16;Системный анали(OPK-6,UK-1)
17;Методы оптимиза(OPK-6,OPK-7,UK-1)
18;Основы управлен(OPK-1,OPK-2,OPK-3,OPK-4,OPK-6,OPK-7,PK-1,PK-4,UK-1,UK-2,UK-3)
19;Основы проектир(OPK-2,PK-1,PK-2,PK-3,UK-2)
20;Ознакомительная(OPK-6,PK-1,UK-1)
21;Научная исследо(OPK-5,OPK-6,OPK-8,PK-1,PK-6,UK-1)
22;Выполнение, под(OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,OPK-6,OPK-7,OPK-8,OPK-9,PK-1,PK-2,PK-3,PK-4,PK-5,PK-6,UK-1,UK-2,UK-3,UK-4,UK-5,UK-6)
23;Баллистическое (PK-1,UK-2)
24;Системы электро(PK-1)
