Id;Label
0;Методология нау(PK-2)
1;Надежность инфо(PK-4)
2;Интеллектуальны(PK-3)
3;Обработка экспе(PK-1)
4;Численный вероя(PK-2)
5;Специальные гла(PK-2)
6;Методы исследов(PK-1)
7;Технология разр(OPK-8,UK-2)
8;Системы поддерж(OPK-7,UK-1)
9;Распределенная (OPK-6)
10;Базы пространст(OPK-2,OPK-4)
11;Программное обе(OPK-1)
12;Анализ требован(OPK-3,UK-1)
13;Интеллектуальны(OPK-2)
14;Информационные (OPK-1,OPK-5)
15;Акмеологическое(UK-3,UK-6)
16;Английский язык(UK-4,UK-5)
17;Английский язык(UK-4,UK-5)
18;Теория управлен(OPK-2)
19;Научно-исследов(OPK-1,UK-1)
20;Ознакомительная(OPK-1)
21;Научно-исследов(OPK-4)
22;Современные тен(PK-2)
23;Современные инф(PK-1)
