Id;Label
0;Экономика предп_2(UK-2)
1;Цифровая эконом_2(PK-1)
2;Цифровые бизнес_2(PK-3)
3;Моделирование б_2(PK-3,PK-4)
4;Цифровое управл_2(PK-3,UK-2)
5;Технологии анал_2(PK-4)
6;Архитектура циф_2(PK-3,PK-4)
7;Динамическое мо_2(PK-3)
8;Цифровое произв_2(PK-4)
9;Деловой иностра_2(UK-4)
10;Распределенные _2(PK-1,UK-1)
11;Распределенные _3(PK-1,UK-1)
12;Практикум: моде_3(PK-3)
13;Управление цифр_3(PK-1,UK-3)
14;Кибербезопаснос_3(PK-4)
15;Web-программиро_3(PK-5)
16;Практикум: Разр_3(PK-5,UK-1)
17;Бизнес-приложен_3(PK-2,PK-3)
18;Сетевые техноло_3(PK-2)
19;Тренинг "Эффект_3(UK-3)
20;Системы ИТ-мони_3(PK-1)
21;Философия_1(UK-1,UK-5,UK-6)
22;История России_0(UK-5)
23;Всеобщая истори_0(UK-5)
24;Ин Яз_0(UK-4)
25;Ин Яз_1(UK-4)
26;БЖД_1(UK-8)
27;Выч сети сист и телекомун_1(OPK-2,OPK-5)
28;Системный анали_0(OPK-6,UK-1)
29;Программировани_0(OPK-5,OPK-7)
30;Программировани_1(OPK-5,OPK-7)
31;Проф деят_0(OPK-3,OPK-4)
32;Информационные _0(OPK-2)
33;Высшая математи_0(OPK-1)
34;Дискретная мате_0(OPK-1)
35;Теория вероятно_1(OPK-1)
36;Эффективная ком_0(UK-3,UK-4)
37;ИБЗИ_1(OPK-3)
38;Право_1(UK-2)
39;Проектирование _1(OPK-4,OPK-8,OPK-9)
40;Операционные си_1(OPK-2,OPK-5)
41;Физ культ_0(UK-7)
42;Физ культ_2(UK-7)
43;Основы проектно_1(OPK-9,UK-2,UK-3)
44;БД_1(OPK-2)
45;Макроэкономика_0(OPK-6)
46;Эконометрика_1(OPK-1)
47;Преддипломая пр_3(OPK-2,OPK-3,OPK-6,PK-1,PK-2,PK-3,PK-4,PK-5,UK-1,UK-2,UK-3)
48;Ознакомительная_0(OPK-1,OPK-3,UK-1)
49;Технология разр_2(PK-2,PK-5)
