Id;Label
0;Объектно-ориент_0(PK-2)
1;Программная реа_0(PK-2)
2;Технология разр_1(PK-1,PK-2,PK-3)
3;Вычислительные _1(PK-1,UK-2)
4;Основы устройст_0(PK-4)
5;Проектирование _0(PK-1,PK-3,UK-2)
6;Проектирование _1(PK-1,PK-3,UK-2)
7;Основы системно_1(PK-1,UK-1,UK-2)
8;Орг. науч-иссл. и проект. деят._0(OPK-3,OPK-4)
9;Английский язык_0(UK-4,UK-5)
10;Английский язык_0(UK-4,UK-5,UK-6)
11;Научно-исследов_0(OPK-3,OPK-4)
12;Научно-исследов_1(OPK-3,OPK-4)
13;Интернет вещей_1(OPK-5,OPK-6)
14;Системы искусст_0(OPK-7)
15;Контрольно-изме_1(OPK-5,OPK-6)
16;Теория систем и_0(OPK-5,OPK-6,UK-1)
17;Методы оптимиза_0(OPK-2,OPK-8)
18;Интеллектуальны_0(OPK-2)
19;Моделирование с_0(OPK-1,OPK-2)
20;Управление прое_1(OPK-8,UK-2,UK-3)
21;Ознакомительная_0(OPK-3,UK-6)
22;Научно-исследов_1(OPK-1,OPK-4)
23;Анализ данных и_0(PK-1,UK-1)
24;Современные про_0(UK-1)
