Source;Target;Type;Weight
0;1;Undirected;0.0362903
0;2;Undirected;0.0362903
1;2;Undirected;0.0322581
2;3;Undirected;0.0322581
2;5;Undirected;0.0887097
2;6;Undirected;0.0282258
2;21;Undirected;0.0241935
3;5;Undirected;0.0887097
3;6;Undirected;0.0564516
3;18;Undirected;0.0282258
3;21;Undirected;0.0241935
5;6;Undirected;0.0806452
5;18;Undirected;0.0403226
5;21;Undirected;0.0362903
6;14;Undirected;0.0241935
6;18;Undirected;0.0241935
6;21;Undirected;0.0403226
6;22;Undirected;0.0201613
7;10;Undirected;0.145161
7;19;Undirected;0.0362903
7;20;Undirected;0.0604839
8;9;Undirected;0.0483871
9;19;Undirected;0.0241935
10;19;Undirected;0.0604839
10;20;Undirected;0.0846774
11;13;Undirected;0.0483871
11;14;Undirected;0.0483871
13;14;Undirected;0.0483871
14;21;Undirected;0.0201613
14;22;Undirected;0.0201613
15;16;Undirected;0.0322581
15;17;Undirected;0.0322581
15;18;Undirected;0.0241935
16;17;Undirected;0.0403226
17;20;Undirected;0.0564516
21;22;Undirected;0.016129
