Id;Label
0;Системы управле_3(PK-1,PK-5)
1;Интеллектуальны_3(PK-4,PK-5)
2;Управление данн_1(PK-4)
3;Программируемые_2(PK-2)
4;Автоматизирован_3(PK-3)
5;Управление техн_3(PK-1,UK-3)
6;Основы теории с_1(UK-1)
7;Организация и п_3(UK-10,UK-3)
8;Информационно-у_3(PK-2)
9;Электронные уст_2(PK-3)
10;Программное обе_2(PK-2)
11;Цифровые систем_2(PK-1,PK-3)
12;Эффектив реч общ_0(UK-4)
13;Цифровизация пр_3(PK-2,PK-5)
14;Оптимальные и а_2(PK-3)
15;SCADA-системы_3(PK-3)
16;Философия_1(UK-5)
17;История России_0(UK-5)
18;Всеобщая истори_0(UK-5)
19;Ин Яз_0(UK-4)
20;Ин Яз_1(UK-4)
21;БЖД_1(UK-8)
22;Физика_0(OPK-1,OPK-2)
23;Физика_1(OPK-1,OPK-2)
24;Информатика_0(OPK-11,OPK-6)
25;Основы программ_0(OPK-6)
26;Алгебра и геоме_0(OPK-1)
27;Мат Анализ_0(OPK-1)
28;Дискретная мате_0(OPK-1)
29;Электротехника _1(OPK-2,OPK-3)
30;Теория автомати_1(OPK-2,OPK-3)
31;Теория автомати_2(OPK-2,OPK-3)
32;Метрология и из_1(OPK-8)
33;Промышленные се_1(OPK-11,OPK-6)
34;Моделирование с_2(OPK-4,OPK-9)
35;Исполнительные _2(OPK-7,OPK-8)
36;Системы управле_2(OPK-10,PK-5)
37;Элементы и устр_2(OPK-7,OPK-8)
38;Проектирование _3(OPK-10)
39;Проф деят_0(OPK-5,UK-6,UK-9)
40;Технология разр_1(OPK-6)
41;Надежность сист_2(OPK-10,OPK-9)
42;Инженерная и ко_1(OPK-10)
43;Методы оптимиза_1(OPK-1,OPK-4)
44;Экономика и упр_2(UK-10,UK-11,UK-2)
45;Физ культ_0(UK-7)
46;Физ культ_2(UK-7)
47;Ознакомительная_0(OPK-3,OPK-5)
48;Ознакомительная_1(OPK-3,OPK-5)
49;Проектная практ_2(OPK-7,PK-1,PK-2)
50;Выполнение, под_3(OPK-1,OPK-10,OPK-11,OPK-2,OPK-3,OPK-4,OPK-5,OPK-6,OPK-7,OPK-8,OPK-9,PK-1,PK-2,PK-3,PK-4,PK-5,UK-1,UK-10,UK-11,UK-2,UK-3,UK-4,UK-5,UK-6,UK-7,UK-8,UK-9)
51;Теория поиска и_2(OPK-5)
52;Алгоритмы и стр_2(OPK-6)
