Source;Target;Type;Weight
0;1;Undirected;0.0184426
0;5;Undirected;0.0184426
0;11;Undirected;0.0204918
0;13;Undirected;0.022541
0;33;Undirected;0.0204918
0;46;Undirected;0.022541
0;47;Undirected;0.057377
1;2;Undirected;0.0143443
1;13;Undirected;0.0204918
1;33;Undirected;0.0184426
1;47;Undirected;0.0532787
2;47;Undirected;0.0245902
3;8;Undirected;0.0163934
3;10;Undirected;0.0163934
3;13;Undirected;0.0184426
3;46;Undirected;0.0184426
3;47;Undirected;0.0245902
4;9;Undirected;0.0184426
4;11;Undirected;0.0204918
4;14;Undirected;0.0163934
4;15;Undirected;0.022541
4;47;Undirected;0.0286885
5;7;Undirected;0.0143443
5;11;Undirected;0.0184426
5;46;Undirected;0.0204918
5;47;Undirected;0.0532787
6;47;Undirected;0.0245902
7;41;Undirected;0.0122951
7;47;Undirected;0.0491803
8;10;Undirected;0.0204918
8;13;Undirected;0.022541
8;46;Undirected;0.022541
8;47;Undirected;0.0286885
9;11;Undirected;0.0184426
9;14;Undirected;0.0143443
9;15;Undirected;0.0204918
9;47;Undirected;0.0266393
10;13;Undirected;0.022541
10;46;Undirected;0.022541
10;47;Undirected;0.0286885
11;14;Undirected;0.0163934
11;15;Undirected;0.022541
11;46;Undirected;0.022541
11;47;Undirected;0.057377
12;19;Undirected;0.0245902
12;47;Undirected;0.0245902
13;33;Undirected;0.022541
13;46;Undirected;0.0245902
13;47;Undirected;0.0614754
14;15;Undirected;0.0184426
14;47;Undirected;0.0245902
15;47;Undirected;0.0307377
16;17;Undirected;0.0122951
16;18;Undirected;0.0122951
16;47;Undirected;0.0266393
17;47;Undirected;0.022541
18;47;Undirected;0.022541
19;47;Undirected;0.0368852
20;47;Undirected;0.0245902
21;24;Undirected;0.0266393
21;25;Undirected;0.0368852
21;26;Undirected;0.0266393
21;27;Undirected;0.0389344
21;28;Undirected;0.0368852
21;40;Undirected;0.022541
21;47;Undirected;0.0696721
22;23;Undirected;0.0266393
22;30;Undirected;0.0327869
22;37;Undirected;0.0184426
22;47;Undirected;0.0532787
22;49;Undirected;0.0122951
23;30;Undirected;0.0266393
23;37;Undirected;0.0286885
23;47;Undirected;0.0368852
23;49;Undirected;0.022541
24;25;Undirected;0.0307377
24;26;Undirected;0.0204918
24;40;Undirected;0.0163934
24;47;Undirected;0.0286885
25;26;Undirected;0.0307377
25;40;Undirected;0.0266393
25;47;Undirected;0.0389344
26;40;Undirected;0.0163934
26;47;Undirected;0.0286885
27;28;Undirected;0.0860656
27;45;Undirected;0.0348361
27;47;Undirected;0.0819672
28;45;Undirected;0.0327869
28;47;Undirected;0.0778689
29;32;Undirected;0.0163934
29;34;Undirected;0.0143443
29;47;Undirected;0.0245902
30;37;Undirected;0.0184426
30;47;Undirected;0.0532787
30;49;Undirected;0.0122951
31;38;Undirected;0.0245902
31;40;Undirected;0.0184426
31;47;Undirected;0.0614754
32;34;Undirected;0.0368852
32;46;Undirected;0.022541
32;47;Undirected;0.057377
33;35;Undirected;0.0184426
33;38;Undirected;0.022541
33;39;Undirected;0.0163934
33;47;Undirected;0.057377
34;46;Undirected;0.0204918
34;47;Undirected;0.0532787
35;38;Undirected;0.0204918
35;39;Undirected;0.0143443
35;47;Undirected;0.0266393
36;45;Undirected;0.0286885
36;47;Undirected;0.104508
36;48;Undirected;0.0204918
37;47;Undirected;0.0286885
37;49;Undirected;0.0143443
38;39;Undirected;0.0184426
38;47;Undirected;0.0614754
39;47;Undirected;0.0245902
40;47;Undirected;0.0491803
41;47;Undirected;0.0737705
42;47;Undirected;0.022541
43;47;Undirected;0.0184426
45;47;Undirected;0.0614754
45;48;Undirected;0.0163934
46;47;Undirected;0.0922131
47;48;Undirected;0.022541
47;49;Undirected;0.022541
