Id;Label
0;Системы управле(PK-1,PK-5)
1;Интеллектуальны(PK-4,PK-5)
2;Управление данн(PK-4)
3;Программируемые(PK-2)
4;Автоматизирован(PK-3)
5;Управление техн(PK-1,UK-3)
6;Основы теории с(UK-1)
7;Организация и п(UK-10,UK-3)
8;Информационно-у(PK-2)
9;Электронные уст(PK-3)
10;Программное обе(PK-2)
11;Цифровые систем(PK-1,PK-3)
12;Эффектив реч общ(UK-4)
13;Цифровизация пр(PK-2,PK-5)
14;Оптимальные и а(PK-3)
15;SCADA-системы(PK-3)
16;Философия(UK-5)
17;История России(UK-5)
18;Всеобщая истори(UK-5)
19;Ин Яз(UK-4)
20;БЖД(UK-8)
21;Физика(OPK-1,OPK-2)
22;Информатика(OPK-11,OPK-6)
23;Основы программ(OPK-6)
24;Алгебра и геоме(OPK-1)
25;Мат Анализ(OPK-1)
26;Дискретная мате(OPK-1)
27;Электротехника (OPK-2,OPK-3)
28;Теория автомати(OPK-2,OPK-3)
29;Метрология и из(OPK-8)
30;Промышленные се(OPK-11,OPK-6)
31;Моделирование с(OPK-4,OPK-9)
32;Исполнительные (OPK-7,OPK-8)
33;Системы управле(OPK-10,PK-5)
34;Элементы и устр(OPK-7,OPK-8)
35;Проектирование (OPK-10)
36;Проф деят(OPK-5,UK-6,UK-9)
37;Технология разр(OPK-6)
38;Надежность сист(OPK-10,OPK-9)
39;Инженерная и ко(OPK-10)
40;Методы оптимиза(OPK-1,OPK-4)
41;Экономика и упр(UK-10,UK-11,UK-2)
42;Физ культ(UK-7)
43;Прик Физ культ(UK-7)
44;Часть, формируе()
45;Ознакомительная(OPK-3,OPK-5)
46;Проектная практ(OPK-7,PK-1,PK-2)
47;Выполнение, под(OPK-1,OPK-10,OPK-11,OPK-2,OPK-3,OPK-4,OPK-5,OPK-6,OPK-7,OPK-8,OPK-9,PK-1,PK-2,PK-3,PK-4,PK-5,UK-1,UK-10,UK-11,UK-2,UK-3,UK-4,UK-5,UK-6,UK-7,UK-8,UK-9)
48;Теория поиска и(OPK-5)
49;Алгоритмы и стр(OPK-6)
