Source;Target;Type;Weight
0;1;Undirected;0.0245902
0;3;Undirected;0.0184426
0;4;Undirected;0.0245902
0;7;Undirected;0.0245902
0;9;Undirected;0.0204918
0;20;Undirected;0.0184426
0;26;Undirected;0.0184426
0;45;Undirected;0.0184426
1;2;Undirected;0.0204918
1;3;Undirected;0.0184426
1;4;Undirected;0.0245902
1;7;Undirected;0.0245902
2;3;Undirected;0.0143443
2;5;Undirected;0.0163934
2;6;Undirected;0.0204918
2;8;Undirected;0.0184426
3;9;Undirected;0.0143443
3;20;Undirected;0.0122951
3;26;Undirected;0.0122951
3;45;Undirected;0.0122951
4;5;Undirected;0.0204918
4;6;Undirected;0.0245902
4;7;Undirected;0.0491803
4;8;Undirected;0.022541
4;9;Undirected;0.0204918
4;45;Undirected;0.0184426
5;6;Undirected;0.0409836
5;7;Undirected;0.0204918
5;8;Undirected;0.0368852
5;9;Undirected;0.0163934
5;45;Undirected;0.0143443
6;7;Undirected;0.0245902
6;8;Undirected;0.045082
6;9;Undirected;0.0204918
6;45;Undirected;0.0184426
7;8;Undirected;0.022541
7;9;Undirected;0.0204918
7;45;Undirected;0.0184426
8;9;Undirected;0.0184426
8;45;Undirected;0.0163934
9;20;Undirected;0.0143443
9;26;Undirected;0.0143443
9;45;Undirected;0.0286885
10;14;Undirected;0.0163934
10;15;Undirected;0.0163934
10;16;Undirected;0.0163934
10;17;Undirected;0.0163934
10;20;Undirected;0.0143443
10;46;Undirected;0.0122951
11;13;Undirected;0.0204918
11;17;Undirected;0.0204918
11;18;Undirected;0.022541
11;19;Undirected;0.0204918
11;33;Undirected;0.0184426
11;40;Undirected;0.0204918
12;13;Undirected;0.022541
12;16;Undirected;0.022541
12;23;Undirected;0.0327869
12;33;Undirected;0.0204918
12;45;Undirected;0.0204918
12;47;Undirected;0.0184426
13;16;Undirected;0.0163934
13;17;Undirected;0.0163934
13;20;Undirected;0.0143443
13;21;Undirected;0.0122951
13;22;Undirected;0.0122951
14;15;Undirected;0.0327869
14;17;Undirected;0.0163934
14;18;Undirected;0.0184426
14;19;Undirected;0.0163934
15;17;Undirected;0.0163934
15;18;Undirected;0.0184426
15;19;Undirected;0.0163934
16;20;Undirected;0.0143443
16;46;Undirected;0.0122951
17;35;Undirected;0.0143443
17;40;Undirected;0.0163934
18;19;Undirected;0.0368852
18;33;Undirected;0.0163934
18;40;Undirected;0.0184426
19;33;Undirected;0.0143443
19;40;Undirected;0.0163934
20;21;Undirected;0.0102459
20;22;Undirected;0.0102459
20;26;Undirected;0.0122951
20;45;Undirected;0.0122951
20;46;Undirected;0.0102459
23;33;Undirected;0.0245902
23;45;Undirected;0.0245902
23;47;Undirected;0.022541
25;27;Undirected;0.0266393
25;29;Undirected;0.0204918
25;37;Undirected;0.0245902
25;41;Undirected;0.022541
25;44;Undirected;0.0122951
25;45;Undirected;0.0245902
26;42;Undirected;0.0143443
26;45;Undirected;0.0245902
27;37;Undirected;0.0266393
27;44;Undirected;0.0266393
27;45;Undirected;0.0532787
28;34;Undirected;0.0163934
28;36;Undirected;0.0266393
28;44;Undirected;0.0163934
28;45;Undirected;0.0327869
29;37;Undirected;0.0204918
29;41;Undirected;0.0307377
29;45;Undirected;0.0204918
30;31;Undirected;0.0409836
30;32;Undirected;0.0430328
30;43;Undirected;0.0389344
30;45;Undirected;0.0368852
31;32;Undirected;0.022541
31;43;Undirected;0.0184426
31;45;Undirected;0.0163934
32;43;Undirected;0.0204918
32;45;Undirected;0.0184426
33;40;Undirected;0.0143443
33;45;Undirected;0.0122951
33;47;Undirected;0.0102459
34;45;Undirected;0.0122951
35;40;Undirected;0.0143443
36;40;Undirected;0.0245902
36;44;Undirected;0.022541
36;45;Undirected;0.067623
37;41;Undirected;0.022541
37;44;Undirected;0.0122951
37;45;Undirected;0.0245902
40;45;Undirected;0.0143443
41;45;Undirected;0.022541
42;45;Undirected;0.0143443
43;45;Undirected;0.0143443
44;45;Undirected;0.0245902
45;47;Undirected;0.0102459
