Id;Label
0;Цифровая электр(PK-3,PK-5)
1;Сетевые операци(PK-3,PK-4)
2;Основы информац(PK-3,PK-5)
3;Физ осн передачи данных и ЦОС(PK-4,PK-5)
4;Адаптивные сист(PK-1,PK-2,UK-2)
5;Микроконтроллер(PK-2,PK-4)
6;ПЛИС. Доп(PK-1,PK-5)
7;Методы оптимиза(PK-1,PK-3,PK-4)
8;Орг. науч-иссл. и проект. деят.(OPK-3,OPK-4)
9;Английский язык(UK-4,UK-5)
10;Английский язык(UK-4,UK-5,UK-6)
11;Научно-исследов(OPK-3,OPK-4)
12;Интернет вещей(OPK-5,OPK-6)
13;Системы искусст(OPK-7)
14;Контрольно-изме(OPK-5,OPK-6)
15;Теория систем и(OPK-5,OPK-6,UK-1)
16;Методы оптимиза(OPK-2,OPK-8)
17;Интеллектуальны(OPK-2)
18;Моделирование с(OPK-1,OPK-2)
19;Управление прое(OPK-8,UK-2,UK-3)
20;Ознакомительная(OPK-3,UK-6)
21;Научно-исследов(OPK-1,OPK-4)
22;Академическое п(UK-4)
23;Анализ требован(UK-3)
