Source;Target;Type;Weight
0;1;Undirected;0.0282258
0;2;Undirected;0.0564516
0;3;Undirected;0.0282258
0;6;Undirected;0.0362903
0;7;Undirected;0.0241935
1;2;Undirected;0.0322581
1;3;Undirected;0.0322581
1;5;Undirected;0.0362903
1;7;Undirected;0.0564516
2;3;Undirected;0.0322581
2;6;Undirected;0.0403226
2;7;Undirected;0.0282258
3;5;Undirected;0.0362903
3;6;Undirected;0.0403226
3;7;Undirected;0.0282258
4;5;Undirected;0.0322581
4;6;Undirected;0.0362903
4;7;Undirected;0.0241935
4;19;Undirected;0.0241935
5;7;Undirected;0.0322581
6;7;Undirected;0.0362903
8;11;Undirected;0.145161
8;20;Undirected;0.0362903
8;21;Undirected;0.0604839
9;10;Undirected;0.0483871
9;22;Undirected;0.0201613
10;20;Undirected;0.0241935
10;22;Undirected;0.0201613
11;20;Undirected;0.0604839
11;21;Undirected;0.0846774
12;14;Undirected;0.0483871
12;15;Undirected;0.0483871
14;15;Undirected;0.0483871
16;17;Undirected;0.0322581
16;18;Undirected;0.0322581
16;19;Undirected;0.0241935
17;18;Undirected;0.0403226
18;21;Undirected;0.0564516
19;23;Undirected;0.0201613
