Source;Target;Type;Weight
0;6;Undirected;0.0241935
0;13;Undirected;0.0645161
0;24;Undirected;0.104839
1;8;Undirected;0.0282258
1;18;Undirected;0.0564516
1;21;Undirected;0.0241935
2;4;Undirected;0.0241935
2;7;Undirected;0.0282258
2;18;Undirected;0.0282258
2;21;Undirected;0.0483871
2;3;Undirected;0.0725806
3;5;Undirected;0.0282258
3;10;Undirected;0.0241935
3;11;Undirected;0.0322581
3;22;Undirected;0.0483871
3;23;Undirected;0.0967742
3;24;Undirected;0.157258
4;12;Undirected;0.0322581
4;21;Undirected;0.0241935
4;5;Undirected;0.0564516
5;6;Undirected;0.0282258
5;22;Undirected;0.0282258
5;23;Undirected;0.0524194
5;24;Undirected;0.112903
6;11;Undirected;0.0322581
6;13;Undirected;0.0322581
6;24;Undirected;0.157258
7;9;Undirected;0.0282258
7;12;Undirected;0.0362903
8;25;Undirected;0.0241935
8;26;Undirected;0.0241935
9;12;Undirected;0.0322581
10;11;Undirected;0.0645161
10;24;Undirected;0.104839
11;24;Undirected;0.181452
13;24;Undirected;0.120968
14;15;Undirected;0.0806452
14;16;Undirected;0.0362903
14;17;Undirected;0.0403226
14;19;Undirected;0.0322581
15;17;Undirected;0.145161
15;18;Undirected;0.0403226
15;19;Undirected;0.0403226
17;18;Undirected;0.0403226
17;19;Undirected;0.0806452
18;19;Undirected;0.0322581
18;20;Undirected;0.0564516
18;21;Undirected;0.0564516
20;21;Undirected;0.0241935
21;22;Undirected;0.0967742
22;23;Undirected;0.193548
22;24;Undirected;0.209677
23;24;Undirected;0.53629
25;26;Undirected;0.016129
