Id;Label
0;Информационные (PK-1)
1;Архитектура инф(PK-1)
2;Теория алгоритм(PK-2)
3;Управление данн(PK-3)
4;Теория информац(PK-1,UK-1)
5;Клиент-серверно(PK-2)
6;Проектирование (PK-3)
7;Английский язык(UK-4)
8;Технологии обра(PK-1)
9;Корпоративные И(PK-1)
10;Интеллектуальны(PK-1)
11;Технологии внед(PK-3)
12;Тестирование и (PK-2,PK-9)
13;Разработка ПО Г(PK-3,PK-6)
14;Управление ИТ-п(PK-8,UK-2)
15;Анализ больших (PK-3)
16;Разработка моби(PK-2,PK-4)
17;Методы и средст(PK-10,PK-4,PK-5)
18;Информационно-в(PK-1)
19;Моделирование п(PK-1)
20;Инструментальны(PK-1,PK-7)
21;Экономическая к(UK-9)
22;Основы профилак(UK-10)
23;Трехмерное моде(PK-1,PK-5)
24;Разработка Web-(PK-1)
25;Бизнес-процессы(PK-1,PK-5)
26;Обработка медиа(PK-1,PK-5)
27;Обработка медиа(PK-1,PK-5)
28;Полиграфический(PK-1,PK-5)
29;Программные сре(PK-2)
30;Графический диз(PK-1,PK-10,PK-4)
31;Философия(UK-1,UK-5,UK-6)
32;История России(UK-5)
33;Всеобщая истори(UK-5)
34;Ин Яз(UK-4)
35;БЖД(UK-8)
36;Физика(OPK-1)
37;Информатика(UK-1)
38;Основы программ(OPK-6)
39;Проф деят(OPK-2,UK-2)
40;Алгебра и геоме(OPK-1)
41;Мат Анализ(OPK-1)
42;Дискретная мате(OPK-1)
43;Теория вероятно(OPK-1)
44;Эффектив реч общ(UK-3,UK-4)
45;ИБЗИ(OPK-3)
46;Технологии прог(OPK-6,OPK-8)
47;Методы и средст(OPK-4)
48;Операционные си(OPK-2,OPK-5)
49;Физ культ(UK-7)
50;Прик Физ культ(UK-7)
51;Ознакомительная(OPK-4,OPK-5)
52;НИР первично(OPK-1,UK-1)
53;Системы дистанц(PK-6)
54;Распределенные (PK-1)
55;Спортивное прог(UK-1)
