Source;Target;Type;Weight
0;1;Undirected;0.0142276
0;4;Undirected;0.0142276
0;8;Undirected;0.0182927
0;9;Undirected;0.0162602
0;10;Undirected;0.0121951
0;18;Undirected;0.0142276
0;19;Undirected;0.0142276
0;20;Undirected;0.0162602
0;23;Undirected;0.0121951
0;24;Undirected;0.0203252
0;25;Undirected;0.0121951
0;26;Undirected;0.0121951
0;27;Undirected;0.0121951
0;28;Undirected;0.0162602
0;30;Undirected;0.0121951
0;54;Undirected;0.0101626
1;4;Undirected;0.0162602
1;8;Undirected;0.0203252
1;9;Undirected;0.0182927
1;10;Undirected;0.0142276
1;18;Undirected;0.0162602
1;19;Undirected;0.0162602
1;20;Undirected;0.0182927
1;23;Undirected;0.0142276
1;24;Undirected;0.0223577
1;25;Undirected;0.0142276
1;26;Undirected;0.0142276
1;27;Undirected;0.0142276
1;28;Undirected;0.0182927
1;30;Undirected;0.0142276
1;54;Undirected;0.0121951
2;5;Undirected;0.0223577
2;12;Undirected;0.0142276
2;16;Undirected;0.0142276
2;29;Undirected;0.0162602
3;6;Undirected;0.0121951
3;11;Undirected;0.0121951
3;13;Undirected;0.0121951
3;15;Undirected;0.0142276
4;8;Undirected;0.0203252
4;9;Undirected;0.0182927
4;10;Undirected;0.0142276
4;18;Undirected;0.0162602
4;19;Undirected;0.0162602
4;20;Undirected;0.0182927
4;23;Undirected;0.0142276
4;24;Undirected;0.0223577
4;25;Undirected;0.0142276
4;26;Undirected;0.0142276
4;27;Undirected;0.0142276
4;28;Undirected;0.0182927
4;30;Undirected;0.0142276
4;31;Undirected;0.0162602
4;37;Undirected;0.0162602
4;52;Undirected;0.0142276
4;54;Undirected;0.0121951
4;55;Undirected;0.0121951
5;12;Undirected;0.0203252
5;16;Undirected;0.0203252
5;29;Undirected;0.0223577
6;11;Undirected;0.0121951
6;13;Undirected;0.0121951
6;15;Undirected;0.0142276
7;34;Undirected;0.0243902
7;44;Undirected;0.0121951
8;9;Undirected;0.0223577
8;10;Undirected;0.0182927
