Id;Label
0;Программно-аппа_3(PK-2,PK-3,PK-5)
1;Программно-аппа_4(PK-2,PK-3,PK-5)
2;Междисциплинарн_4(PK-1,PK-3,PK-4)
3;Управление инфо_4(PK-1,PK-5)
4;Комплексная защ_4(PK-1,PK-2,PK-3,PK-5)
5;Администрирован_4(PK-5)
6;Математическое _3(PK-4)
7;Модели безопасн_2(PK-4)
8;Философия_1(UK-1)
9;История_0(OPK-17,UK-5)
10;Ин Яз_0(UK-4)
11;Ин Яз_1(UK-4)
12;БЖД_2(UK-8)
13;Основы информац_2(OPK-1,OPK-11,OPK-4)
14;Операционные си_3(OPK-12,OPK-9)
15;Компьютерные се_3(OPK-9)
16;Системы управле_2(OPK-14,OPK-9)
17;Защита в операц_3(OPK-9)
18;Защита информац_2(OPK-4,OPK-9)
19;Основы построен_4(OPK-15,OPK-4)
20;Основы построен_4(OPK-14)
21;Методы и средст_3(OPK-10)
22;Методы и средст_4(OPK-10)
23;Криптографическ_4(OPK-10)
24;Физ культ_0(UK-7)
25;Физ культ_2(UK-7)
26;Правоведение_0(UK-10,UK-2)
27;Личностное разв_2(UK-3,UK-6)
28;Эффектив реч общ_1(UK-4)
29;Экономическая к_2(UK-9)
30;Проф деят_0(OPK-1)
31;Организационное_4(OPK-4,OPK-5,OPK-6)
32;Алгебра_0(OPK-3)
33;Аналитическая г_0(OPK-3)
34;Дополнительные _1(OPK-3)
35;Мат Анализ_0(OPK-3)
36;Дополнительные _1(OPK-3)
37;Дискретная мате_0(OPK-3)
38;Математическая _1(OPK-3)
39;Теория вероятно_1(OPK-3)
40;Теория вероятно_2(OPK-3)
41;Дифференциальны_1(OPK-3)
42;ТФКП_2(OPK-3)
43;Численные метод_2(OPK-2,OPK-3)
44;Исследование оп_3(OPK-3)
45;Физика_0(OPK-4)
46;Физика_1(OPK-4)
47;Сети и системы _3(OPK-4)
48;Электроника и с_1(OPK-4)
49;Электроника и с_2(OPK-4)
50;Информатика_0(OPK-1)
51;Информационные _1(OPK-1)
52;Аппаратные сред_2(OPK-2)
53;Языки программи_0(OPK-7)
54;Языки программи_1(OPK-7)
55;Технологии и ме_3(OPK-7)
56;Параллельное пр_3(OPK-7)
57;Теория информац_2(OPK-1)
58;Теоретико-число_2(OPK-3)
59;Защита программ_3(OPK-13,OPK-16)
60;Открытые информ_4(OPK-6)
61;Основы научных _3(OPK-8)
62;Основы управлен_4(UK-1,UK-2,UK-3)
63;Искусственный и_4(OPK-3)
64;Документоведени_3(OPK-1)
65;Английский язык_2(UK-4)
66;Акмеология_3(UK-6)
67;Учебно-лаборато_1(PK-1)
68;Эксплуатационно_2(PK-5)
69;Ознакомительная_0(OPK-1)
70;Научно-исследов_3(OPK-8)
71;Научно-исследов_4(OPK-8)
72;Научно-исследов_5(OPK-8)
73;Подготовка к пр_5(OPK-1,OPK-10,OPK-11,OPK-12,OPK-13,OPK-14,OPK-15,OPK-16,OPK-17,OPK-2,OPK-3,OPK-4,OPK-5,OPK-6,OPK-7,OPK-8,OPK-9,PK-1,PK-2,PK-3,PK-4,PK-5,UK-1,UK-10,UK-2,UK-3,UK-4,UK-5,UK-6,UK-7,UK-8,UK-9)
74;Подготовка к сд_5(PK-1,PK-2,PK-3,PK-4)
75;Основы стеганог_3(OPK-13)
76;Цифровая обрабо_2(OPK-2)
