Source;Target;Type;Weight
0;3;Undirected;0.0322581
0;4;Undirected;0.0241935
0;6;Undirected;0.0403226
0;23;Undirected;0.0201613
2;7;Undirected;0.0443548
3;4;Undirected;0.0322581
3;6;Undirected;0.0483871
3;23;Undirected;0.0282258
4;6;Undirected;0.0403226
4;23;Undirected;0.0201613
5;22;Undirected;0.0282258
6;8;Undirected;0.0403226
6;12;Undirected;0.0604839
6;23;Undirected;0.0362903
8;12;Undirected;0.0443548
8;18;Undirected;0.0443548
10;13;Undirected;0.0241935
10;21;Undirected;0.0483871
11;14;Undirected;0.0362903
11;20;Undirected;0.0282258
12;19;Undirected;0.0443548
14;20;Undirected;0.0322581
16;17;Undirected;0.0483871
