Id;Label
0;Философия(OK-1)
1;История(OK-1)
2;Ин Яз(OK-3,OK-4)
3;БЖД(OK-8)
4;Физ культ(OK-4,OK-7)
5;Алгебра и геоме(DOPK-1,OK-5)
6;Мат Анализ(DOPK-1,OK-5)
7;Основы программ(OK-5,OPK-2,OPK-3)
8;Электротехника (OPK-3,OPK-5,PK-18,PK-2,PK-5)
9;Теория автомати(OK-5,OPK-3,OPK-4,PK-1,PK-6)
10;Метрология и из(OPK-1,PK-1,PK-5)
11;Инфокоммуникаци(OK-5,OPK-2,OPK-3,PK-22,PK-6)
12;Моделирование с(OK-5,OPK-3,PK-19,PK-20,PK-4,PK-5)
13;Технологические(OPK-3,PK-1,PK-18,PK-19,PK-3)
14;Надежность и ди(OPK-4,PK-18,PK-2,PK-6)
15;Автоматизация у(OK-5,PK-18,PK-19,PK-21)
16;Элементы и устр(OK-5,PK-1,PK-2)
17;Экономика и упр(OK-2,OK-6,OPK-1)
18;Организация и п(OPK-1,PK-3,PK-5)
19;Проектирование (OK-5,OPK-4,OPK-5,PK-1,PK-5)
20;Автоматизирован(OK-5,OPK-3,PK-19)
21;Физика(DOPK-1,OK-5,PK-2)
22;Разработка АСУТ(OPK-3,PK-1,PK-19)
23;Интеллектуальны(OK-5,PK-19,PK-4)
24;Информационное (OK-5,OPK-2,OPK-3,PK-1)
25;Программируемые(OK-5,OPK-3,PK-1,PK-19,PK-3)
26;Методы оптимиза(DOPK-1,PK-3)
27;Эффектив реч общ(OK-3,PK-22)
28;Информатика(OK-5,OPK-3,PK-19)
29;Экология(DOPK-1,OK-5,PK-3)
30;Введение в инже(OK-6,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-21)
31;Технология разр(OK-4,OK-5,OPK-1,OPK-2,OPK-3,PK-19)
32;Автоматизирован(PK-1,PK-5)
33;Автоматизация т(OPK-1,PK-4,PK-5)
34;Основы теории с(PK-1,PK-4)
35;Химия(DOPK-1,OK-5,PK-2)
36;Инженерная и ко(OK-5,OPK-3,OPK-5,PK-19)
37;Дискретная мате(DOPK-1,OK-5,PK-2)
38;Прик Физ культ(OK-7)
39;Автоматизирован(PK-19,PK-5)
40;Информационные (PK-18,PK-19,PK-3,PK-5)
41;Управление каче(OPK-1,PK-4,PK-5)
42;SCADA-системы(OK-5,OPK-3,PK-19,PK-3)
43;Программное обе(OPK-2,OPK-3,PK-19)
44;Проектирование (OK-5,OPK-3,PK-1,PK-18,PK-19)
45;Практика по пол(OK-5,OPK-2,OPK-3,PK-4)
46;Практика по пол(OK-4,OK-5,OPK-4,OPK-5,PK-18,PK-19,PK-21,PK-6)
47;Научно-исследов(OK-5,PK-18,PK-19,PK-20,PK-21,PK-22)
48;Подготовка к пр(DOPK-1,OK-1,OK-2,OK-3,OK-4,OK-5,OK-6,OK-7,OK-8,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-18,PK-19,PK-2,PK-20,PK-21,PK-22,PK-3,PK-4,PK-5,PK-6)
49;Теория поиска и(OK-6,OPK-2,PK-1)
50;Алгоритмы и стр(OPK-3)
