Id;Label
0;Математическое _0(OK-4,OPK-2,OPK-3,OPK-4,OPK-5,PK-10,PK-2,PK-4)
1;Автоматизирован_0(OK-2,OPK-1,PK-1,PK-3,PK-5,PK-6,PK-7,PK-9)
2;Информационная _0(DPK-1,OK-3)
3;Информационные _0(OPK-4,PK-10,PK-3,PK-6,PK-8,PK-9)
4;Современные про_0(OK-1,OK-4,OPK-1,OPK-4,PK-1)
5;Проектирование _0(OPK-4,PK-1,PK-10,PK-3,PK-6,PK-8,PK-9)
6;Организация еди_1(DPK-1,OPK-4,PK-4)
7;Научно-исследов_0(PK-1,PK-2,PK-3,PK-5)
8;Научно-исследов_1(PK-1,PK-2,PK-3,PK-5)
9;Управление прое_0(DPK-1,OK-2,OPK-4,PK-9)
10;Методы проектир_0(OPK-4,PK-10,PK-4)
11;Информационное _0(PK-10,PK-6,PK-9)
12;Инженерная логи_1(DPK-1,OPK-4,PK-10,PK-3)
13;Автоматизирован_0(OPK-3,PK-1,PK-4)
14;Практика по пол_0(OPK-1,OPK-2,OPK-4,OPK-5,PK-10)
15;Научно-исследов_0(DPK-2,OK-3,OK-4,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-10,PK-2,PK-3,PK-4,PK-5,PK-6,PK-7,PK-8,PK-9)
16;Научно-исследов_1(DPK-2,OK-3,OK-4,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-10,PK-2,PK-3,PK-4,PK-5,PK-6,PK-7,PK-8,PK-9)
17;Практика по пол_1(DPK-1,OPK-1,OPK-2,OPK-4,OPK-5,PK-10,PK-4,PK-8,PK-9)
18;Подготовка к пр_1(DPK-1,DPK-2,OK-1,OK-2,OK-3,OK-4,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-10,PK-2,PK-3,PK-4,PK-5,PK-6,PK-7,PK-8,PK-9)
19;Методы и средст_0(DPK-1,OPK-4,PK-10,PK-4,PK-6)
20;Бережливое прои_0(OPK-4)
