Id;Label
0;Технологии извл_0(PK-6)
1;Аналитика больш_0(PK-4,PK-5,PK-7)
2;Методы оптимиза_0(UK-1)
3;Современные про_0(PK-4,UK-4)
4;Современные про_1(PK-4,UK-4)
5;Проектирование _0(PK-1,PK-2,PK-3)
6;Проектирование _1(PK-1,PK-2,PK-3)
7;Методы обработк_1(PK-6,PK-7)
8;Машинное обучен_1(PK-7)
9;Анализ текстовы_1(PK-4,PK-7)
10;Методология про_0(OPK-5,OPK-6,UK-6)
11;Методы и алгори_0(OPK-7)
12;Управление разр_0(OPK-8,UK-2,UK-3)
13;Английский язык_0(UK-4,UK-5)
14;Системный инжин_0(OPK-3,UK-1)
15;Основы научных _0(OPK-1,OPK-4)
16;Интеллектуальны_0(OPK-2)
17;Распределенные _1(OPK-7)
18;Ознакомительная_0(OPK-3,OPK-4,OPK-6)
19;Функциональное _0(PK-6)
20;Формальная вери_1(PK-2)
