Id;Label
0;Технологии извл(PK-6)
1;Аналитика больш(PK-4,PK-5,PK-7)
2;Методы оптимиза(UK-1)
3;Современные про(PK-4,UK-4)
4;Проектирование (PK-1,PK-2,PK-3)
5;Методы обработк(PK-6,PK-7)
6;Машинное обучен(PK-7)
7;Анализ текстовы(PK-4,PK-7)
8;Методология про(OPK-5,OPK-6,UK-6)
9;Методы и алгори(OPK-7)
10;Управление разр(OPK-8,UK-2,UK-3)
11;Английский язык(UK-4,UK-5)
12;Системный инжин(OPK-3,UK-1)
13;Основы научных (OPK-1,OPK-4)
14;Интеллектуальны(OPK-2)
15;Распределенные (OPK-7)
16;Ознакомительная(OPK-3,OPK-4,OPK-6)
17;Функциональное (PK-6)
18;Формальная вери(PK-2)
