Id;Label
0;Методология нау_0(PK-2)
1;Надежность инфо_0(PK-4)
2;Интеллектуальны_0(PK-3)
3;Обработка экспе_0(PK-1)
4;Численный вероя_0(PK-2)
5;Специальные гла_0(PK-2)
6;Методы исследов_1(PK-1)
7;Технология разр_0(OPK-8,UK-2)
8;Системы поддерж_0(OPK-7,UK-1)
9;Распределенная _1(OPK-6)
10;Базы пространст_0(OPK-2,OPK-4)
11;Программное обе_1(OPK-1)
12;Анализ требован_0(OPK-3,UK-1)
13;Интеллектуальны_1(OPK-2)
14;Информационные _0(OPK-1,OPK-5)
15;Акмеологическое_1(UK-3,UK-6)
16;Английский язык_0(UK-4,UK-5)
17;Английский язык_0(UK-4,UK-5)
18;Теория управлен_1(OPK-2)
19;Научно-исследов_0(OPK-1,UK-1)
20;Научно-исследов_1(OPK-1,UK-1)
21;Ознакомительная_0(OPK-1)
22;Научно-исследов_1(OPK-4)
23;Современные тен_0(PK-2)
24;Современные инф_0(PK-1)
