Id;Label
0;Разработка унив_0(PK-3)
1;Стратегическое _0(PK-5,UK-2)
2;Разработка корп_0(PK-4)
3;Разработка обла_0(PK-3)
4;Проектирование _0(PK-2)
5;Разработка инфо_0(PK-2,PK-5)
6;Аналитические с_1(PK-1,PK-2)
7;Технология разр_0(OPK-8,UK-2)
8;Системы поддерж_0(OPK-7,UK-1)
9;Распределенная _1(OPK-6)
10;Базы пространст_0(OPK-2,OPK-4)
11;Программное обе_1(OPK-1)
12;Анализ требован_0(OPK-3,UK-1)
13;Интеллектуальны_1(OPK-2)
14;Информационные _0(OPK-1,OPK-5)
15;Акмеологическое_1(UK-3,UK-6)
16;Английский язык_0(UK-4,UK-5)
17;Английский язык_0(UK-4,UK-5)
18;Тестирование и _1(OPK-1)
19;Научно-исследов_0(OPK-3)
20;Научно-исследов_1(OPK-3)
21;Ознакомительная_0(OPK-1)
22;Научно-исследов_1(OPK-4)
23;Современные тен_0(PK-2)
24;Современные инф_0(PK-1)
