Source;Target;Type;Weight
0;1;Undirected;0.0122951
0;2;Undirected;0.0122951
0;5;Undirected;0.0122951
0;6;Undirected;0.0163934
1;2;Undirected;0.0122951
1;5;Undirected;0.0122951
1;6;Undirected;0.0163934
2;3;Undirected;0.0122951
2;5;Undirected;0.0122951
2;6;Undirected;0.0163934
5;6;Undirected;0.0163934
6;28;Undirected;0.0184426
6;48;Undirected;0.0204918
6;53;Undirected;0.0163934
7;10;Undirected;0.0163934
8;9;Undirected;0.0122951
8;10;Undirected;0.0122951
8;11;Undirected;0.0163934
8;13;Undirected;0.0122951
8;15;Undirected;0.0327869
9;12;Undirected;0.0163934
9;13;Undirected;0.0368852
9;15;Undirected;0.0163934
10;11;Undirected;0.0163934
10;15;Undirected;0.0163934
11;15;Undirected;0.0204918
12;13;Undirected;0.0163934
12;18;Undirected;0.0163934
13;15;Undirected;0.0163934
14;20;Undirected;0.0245902
14;24;Undirected;0.0163934
14;25;Undirected;0.022541
14;26;Undirected;0.022541
14;27;Undirected;0.0143443
15;16;Undirected;0.0327869
16;17;Undirected;0.0143443
16;21;Undirected;0.0122951
16;26;Undirected;0.0204918
17;20;Undirected;0.0122951
17;21;Undirected;0.0143443
17;26;Undirected;0.022541
19;54;Undirected;0.0102459
20;24;Undirected;0.0122951
20;25;Undirected;0.0184426
20;26;Undirected;0.0184426
20;27;Undirected;0.0102459
21;26;Undirected;0.0204918
24;26;Undirected;0.022541
25;27;Undirected;0.0204918
28;48;Undirected;0.0184426
28;53;Undirected;0.0143443
31;41;Undirected;0.0143443
31;32;Undirected;0.0184426
34;36;Undirected;0.0163934
34;39;Undirected;0.0184426
34;40;Undirected;0.0286885
34;42;Undirected;0.0184426
34;35;Undirected;0.0163934
35;43;Undirected;0.0143443
35;45;Undirected;0.0184426
35;48;Undirected;0.0184426
36;37;Undirected;0.0266393
36;39;Undirected;0.0184426
36;40;Undirected;0.0286885
36;42;Undirected;0.0184426
36;52;Undirected;0.0143443
37;52;Undirected;0.0245902
39;40;Undirected;0.0307377
39;42;Undirected;0.0204918
40;42;Undirected;0.0307377
43;45;Undirected;0.0163934
43;48;Undirected;0.0163934
44;53;Undirected;0.0163934
45;48;Undirected;0.0204918
46;47;Undirected;0.0245902
48;53;Undirected;0.0163934
