Source;Target;Type;Weight
0;1;Undirected;0.0532787
0;2;Undirected;0.057377
0;3;Undirected;0.0266393
0;4;Undirected;0.0245902
0;5;Undirected;0.0266393
0;7;Undirected;0.0245902
0;8;Undirected;0.0245902
0;9;Undirected;0.0245902
0;10;Undirected;0.0245902
0;11;Undirected;0.0245902
0;12;Undirected;0.0245902
0;13;Undirected;0.0491803
0;15;Undirected;0.0245902
0;16;Undirected;0.0286885
0;18;Undirected;0.0286885
0;52;Undirected;0.0614754
1;2;Undirected;0.0368852
1;3;Undirected;0.0163934
1;4;Undirected;0.0143443
1;5;Undirected;0.0163934
1;7;Undirected;0.0143443
1;8;Undirected;0.0143443
1;9;Undirected;0.0143443
1;10;Undirected;0.0143443
1;11;Undirected;0.0143443
1;12;Undirected;0.0143443
1;13;Undirected;0.0286885
1;15;Undirected;0.0143443
1;16;Undirected;0.0184426
1;18;Undirected;0.0184426
1;52;Undirected;0.0409836
2;3;Undirected;0.0184426
2;4;Undirected;0.0163934
2;5;Undirected;0.0184426
2;7;Undirected;0.0163934
2;8;Undirected;0.0163934
2;9;Undirected;0.0163934
2;10;Undirected;0.0163934
2;11;Undirected;0.0163934
2;12;Undirected;0.0163934
2;13;Undirected;0.0327869
2;15;Undirected;0.0163934
2;16;Undirected;0.0204918
2;18;Undirected;0.0204918
2;52;Undirected;0.045082
3;4;Undirected;0.0143443
3;5;Undirected;0.0163934
3;6;Undirected;0.0184426
3;11;Undirected;0.0143443
3;12;Undirected;0.0143443
3;13;Undirected;0.0143443
3;15;Undirected;0.0143443
3;17;Undirected;0.0163934
3;18;Undirected;0.0368852
3;52;Undirected;0.0204918
3;55;Undirected;0.0122951
3;56;Undirected;0.0122951
4;5;Undirected;0.0143443
4;11;Undirected;0.0122951
4;12;Undirected;0.0122951
4;13;Undirected;0.0122951
4;18;Undirected;0.0163934
4;52;Undirected;0.0184426
5;11;Undirected;0.0143443
5;12;Undirected;0.0143443
5;13;Undirected;0.0143443
5;18;Undirected;0.0184426
5;52;Undirected;0.0204918
6;15;Undirected;0.0163934
6;16;Undirected;0.0204918
6;17;Undirected;0.0184426
6;18;Undirected;0.0204918
6;55;Undirected;0.0143443
6;56;Undirected;0.0143443
7;8;Undirected;0.0122951
7;9;Undirected;0.0122951
7;10;Undirected;0.0122951
7;13;Undirected;0.0122951
7;15;Undirected;0.0122951
7;16;Undirected;0.0163934
7;52;Undirected;0.0184426
8;9;Undirected;0.0122951
8;10;Undirected;0.0122951
8;13;Undirected;0.0122951
8;15;Undirected;0.0122951
8;16;Undirected;0.0163934
8;52;Undirected;0.0184426
9;10;Undirected;0.0122951
9;13;Undirected;0.0122951
9;15;Undirected;0.0122951
9;16;Undirected;0.0163934
9;52;Undirected;0.0184426
10;13;Undirected;0.0122951
10;15;Undirected;0.0122951
10;16;Undirected;0.0163934
10;52;Undirected;0.0184426
11;12;Undirected;0.0122951
11;13;Undirected;0.0122951
11;18;Undirected;0.0163934
11;52;Undirected;0.0184426
12;13;Undirected;0.0122951
12;18;Undirected;0.0163934
12;52;Undirected;0.0184426
13;15;Undirected;0.0122951
13;16;Undirected;0.0163934
13;18;Undirected;0.0163934
13;52;Undirected;0.0368852
15;16;Undirected;0.0163934
15;17;Undirected;0.0143443
15;18;Undirected;0.0163934
15;52;Undirected;0.0184426
15;55;Undirected;0.0102459
15;56;Undirected;0.0102459
16;52;Undirected;0.022541
17;18;Undirected;0.0184426
17;55;Undirected;0.0122951
17;56;Undirected;0.0122951
18;52;Undirected;0.022541
18;55;Undirected;0.0143443
18;56;Undirected;0.0143443
19;20;Undirected;0.0122951
19;21;Undirected;0.0122951
19;28;Undirected;0.0143443
19;51;Undirected;0.0143443
22;29;Undirected;0.0245902
24;25;Undirected;0.0204918
24;38;Undirected;0.0143443
24;39;Undirected;0.0143443
24;48;Undirected;0.0122951
25;38;Undirected;0.0184426
25;39;Undirected;0.0184426
25;48;Undirected;0.0163934
26;27;Undirected;0.022541
26;30;Undirected;0.0368852
26;31;Undirected;0.0266393
26;32;Undirected;0.022541
26;33;Undirected;0.022541
26;34;Undirected;0.0245902
26;35;Undirected;0.0245902
26;36;Undirected;0.022541
26;37;Undirected;0.0266393
26;40;Undirected;0.022541
26;42;Undirected;0.022541
26;43;Undirected;0.0348361
26;44;Undirected;0.0266393
26;45;Undirected;0.0307377
26;46;Undirected;0.0348361
26;47;Undirected;0.022541
26;53;Undirected;0.022541
26;54;Undirected;0.022541
27;28;Undirected;0.0122951
27;30;Undirected;0.0266393
27;31;Undirected;0.0163934
27;32;Undirected;0.0122951
27;33;Undirected;0.0122951
27;34;Undirected;0.0143443
27;35;Undirected;0.0143443
27;36;Undirected;0.0122951
27;37;Undirected;0.0163934
27;40;Undirected;0.0122951
27;42;Undirected;0.0122951
27;43;Undirected;0.0245902
27;44;Undirected;0.0163934
27;45;Undirected;0.0204918
27;46;Undirected;0.0245902
27;47;Undirected;0.0122951
27;53;Undirected;0.0122951
27;54;Undirected;0.0122951
28;51;Undirected;0.0122951
30;31;Undirected;0.0307377
30;32;Undirected;0.0266393
30;33;Undirected;0.0266393
30;34;Undirected;0.0286885
30;35;Undirected;0.0286885
30;36;Undirected;0.0266393
30;37;Undirected;0.0307377
30;40;Undirected;0.0266393
30;42;Undirected;0.0266393
30;43;Undirected;0.0389344
30;44;Undirected;0.0307377
30;45;Undirected;0.0348361
30;46;Undirected;0.0389344
30;47;Undirected;0.0266393
30;53;Undirected;0.0266393
30;54;Undirected;0.0266393
31;32;Undirected;0.0163934
31;33;Undirected;0.0163934
31;34;Undirected;0.0184426
31;35;Undirected;0.0184426
31;36;Undirected;0.0163934
31;37;Undirected;0.0204918
31;40;Undirected;0.0163934
31;42;Undirected;0.0163934
31;43;Undirected;0.0286885
31;44;Undirected;0.0204918
31;45;Undirected;0.0245902
31;46;Undirected;0.0286885
31;47;Undirected;0.0163934
31;53;Undirected;0.0163934
31;54;Undirected;0.0163934
32;33;Undirected;0.0122951
32;34;Undirected;0.0143443
32;35;Undirected;0.0143443
32;36;Undirected;0.0122951
32;37;Undirected;0.0163934
32;40;Undirected;0.0122951
32;42;Undirected;0.0122951
32;43;Undirected;0.0245902
32;44;Undirected;0.0163934
32;45;Undirected;0.0204918
32;46;Undirected;0.0245902
32;47;Undirected;0.0122951
32;53;Undirected;0.0122951
32;54;Undirected;0.0122951
33;34;Undirected;0.0143443
33;35;Undirected;0.0143443
33;36;Undirected;0.0122951
33;37;Undirected;0.0163934
33;40;Undirected;0.0122951
33;42;Undirected;0.0122951
33;43;Undirected;0.0245902
33;44;Undirected;0.0163934
33;45;Undirected;0.0204918
33;46;Undirected;0.0245902
33;47;Undirected;0.0122951
33;53;Undirected;0.0122951
33;54;Undirected;0.0122951
34;35;Undirected;0.0163934
34;36;Undirected;0.0143443
34;37;Undirected;0.0184426
34;40;Undirected;0.0143443
34;42;Undirected;0.0143443
34;43;Undirected;0.0266393
34;44;Undirected;0.0184426
34;45;Undirected;0.022541
34;46;Undirected;0.0266393
34;47;Undirected;0.0143443
34;53;Undirected;0.0143443
34;54;Undirected;0.0143443
35;36;Undirected;0.0143443
35;37;Undirected;0.0184426
35;40;Undirected;0.0143443
35;42;Undirected;0.0143443
35;43;Undirected;0.0266393
35;44;Undirected;0.0184426
35;45;Undirected;0.022541
35;46;Undirected;0.0266393
35;47;Undirected;0.0143443
35;53;Undirected;0.0143443
35;54;Undirected;0.0143443
36;37;Undirected;0.0163934
