Id;Label
0;Методы оптимиза_2(PK-1,PK-3)
1;Теория чисел_2(PK-1,PK-3)
2;Интегр преобр_3(PK-1,PK-3)
3;Теоретическая м_1(PK-1,PK-2)
4;Компьютерные се_1(PK-1)
5;Параллельное пр_2(PK-1)
6;Бакалаврский се_2(PK-2,PK-4)
7;Бакалаврский се_3(PK-2,PK-4)
8;Основы топологи_2(PK-3)
9;Основы вычислит_2(PK-3)
10;ИБЗИ_2(PK-3)
11;Разностные мето_2(PK-3)
12;Нечеткая логика_2(PK-1)
13;Методика обуч мат_3(PK-1)
14;Аналитическая м_1(PK-1,PK-3)
15;Основы профилак_3(UK-10)
16;Теория рисков_3(PK-2,PK-3)
17;Математика слож_3(PK-3,PK-4)
18;Дискретный гарм_3(PK-2)
19;Основы комп алгебр_3(PK-1,PK-2)
20;Философия_1(UK-1,UK-5,UK-6)
21;История России_0(UK-5)
22;Всеобщая истори_0(UK-5)
23;Ин Яз_0(UK-4)
24;Ин Яз_1(UK-4)
25;БЖД_1(UK-8)
26;Информатика_0(OPK-4)
27;Языки программи_0(OPK-4)
28;Физика_0(OPK-1)
29;Физика_1(OPK-1)
30;Проф деят_0(OPK-1,UK-2)
31;Экономика_3(UK-1,UK-2,UK-9)
32;Эффектив реч общ_0(UK-3,UK-4)
33;Мат Анализ_0(OPK-1)
34;Аналитическая г_0(OPK-1)
35;Математическая _1(OPK-1)
36;Дифференциальны_1(OPK-1)
37;Теория вероятно_1(OPK-1)
38;Математическая _2(OPK-1)
39;ТФКП_1(OPK-1)
40;Исследование оп_3(OPK-1)
41;ОС и сети ЭВМ_1(OPK-4)
42;БД_2(OPK-4)
43;Численные метод_2(OPK-1)
44;Теория случ проц_2(OPK-3)
45;Мат моделирование_3(OPK-1,OPK-2,OPK-3)
46;Мат Анализ Доп_1(OPK-1)
47;Дискретная мате_0(OPK-1)
48;Алгебра_0(OPK-1)
49;Ур Мат физики_2(OPK-1,OPK-2)
50;Функциональный _1(OPK-1,OPK-2)
51;Язык программир_1(OPK-4)
52;Физ культ_0(UK-7)
53;Физ культ_2(UK-7)
54;Анализ данных_3(OPK-2,OPK-3,UK-1)
55;НИР_2(PK-1,PK-3)
56;Ознакомительная_0(OPK-1,OPK-2)
57;НИР первично_1(OPK-1,OPK-2)
58;Цифровая обрабо_2(PK-2)
59;Пакеты прикладн_2(PK-2)
