Id;Label
0;Математическое _0(OPK-2,OPK-4,PK-2,PK-4)
1;Автоматизирован_0(OK-2,OPK-1,OPK-3,PK-1,PK-3,PK-5,PK-6,PK-7,PK-9)
2;Информационная _0(DPK-2,OK-3,PK-10,PK-3)
3;Информационные _0(DPK-2,OPK-4,OPK-5,PK-10,PK-3,PK-4,PK-6,PK-8,PK-9)
4;Современные про_0(OK-1,OK-4,OPK-1,OPK-4,PK-1,PK-2)
5;Проектирование _0(OPK-4,PK-10,PK-3,PK-6,PK-8,PK-9)
6;Бережливое прои_1(DPK-2,DPK-3,OPK-4,PK-5)
7;Технология прои_0(DPK-1,DPK-3,OPK-2,OPK-4,PK-10,PK-4)
8;Научно-исследов_0(OPK-3,OPK-5,PK-1,PK-5)
9;Научно-исследов_1(OPK-3,OPK-5,PK-1,PK-5)
10;Управление прое_0(OK-2,OPK-3,OPK-4,PK-4,PK-8)
11;Методы проектир_0(OPK-4,PK-10,PK-6)
12;CAM-технологии _0(OPK-4,PK-3,PK-6)
13;Инженерная логи_1(DPK-2,OPK-4,PK-10,PK-3)
14;Разработка корп_0(DPK-2,OK-3,PK-10,PK-3)
15;Практика по пол_0(OPK-1,OPK-2,OPK-4,OPK-5,PK-10,PK-4,PK-7)
16;Научно-исследов_0(OK-2,OK-3,OK-4,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-10,PK-3,PK-5,PK-6,PK-7,PK-8)
17;Научно-исследов_1(OK-2,OK-3,OK-4,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-10,PK-3,PK-5,PK-6,PK-7,PK-8)
18;Практика по пол_1(OK-3,OK-4,OPK-1,OPK-2,OPK-4,OPK-5,PK-10)
19;Подготовка к пр_1(DPK-1,DPK-2,DPK-3,OK-1,OK-2,OK-3,OK-4,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-10,PK-2,PK-3,PK-4,PK-5,PK-6,PK-7,PK-8,PK-9)
20;Методы и средст_0(DPK-2,OPK-4,PK-10,PK-4,PK-6)
21;Информационное _0(PK-10,PK-6,PK-9)
