Source;Target;Type;Weight
0;59;Undirected;0.0655738
0;60;Undirected;0.0204918
1;2;Undirected;0.0409836
3;56;Undirected;0.0122951
4;53;Undirected;0.0122951
4;59;Undirected;0.0184426
4;60;Undirected;0.0122951
5;56;Undirected;0.0122951
6;58;Undirected;0.0122951
7;8;Undirected;0.0102459
9;56;Undirected;0.0204918
10;11;Undirected;0.0184426
11;12;Undirected;0.0163934
18;43;Undirected;0.0184426
18;54;Undirected;0.0184426
19;59;Undirected;0.045082
19;60;Undirected;0.0327869
20;46;Undirected;0.0102459
20;47;Undirected;0.0102459
20;48;Undirected;0.0143443
20;49;Undirected;0.0122951
20;50;Undirected;0.0286885
20;55;Undirected;0.0122951
20;59;Undirected;0.0368852
20;60;Undirected;0.0122951
21;22;Undirected;0.0102459
21;39;Undirected;0.0163934
22;39;Undirected;0.0143443
22;23;Undirected;0.0122951
23;59;Undirected;0.0204918
24;25;Undirected;0.0163934
26;27;Undirected;0.0245902
26;28;Undirected;0.0348361
26;29;Undirected;0.0245902
27;28;Undirected;0.0307377
27;29;Undirected;0.0204918
28;29;Undirected;0.0307377
30;31;Undirected;0.0122951
32;33;Undirected;0.0163934
33;34;Undirected;0.0163934
34;35;Undirected;0.0204918
35;62;Undirected;0.0163934
36;57;Undirected;0.0143443
37;38;Undirected;0.0143443
40;57;Undirected;0.022541
41;58;Undirected;0.022541
42;61;Undirected;0.0102459
43;54;Undirected;0.0122951
44;59;Undirected;0.0204918
46;48;Undirected;0.0122951
46;49;Undirected;0.0102459
46;50;Undirected;0.0122951
46;55;Undirected;0.0102459
46;59;Undirected;0.0163934
46;60;Undirected;0.0102459
47;48;Undirected;0.0122951
47;49;Undirected;0.0102459
47;50;Undirected;0.0122951
47;55;Undirected;0.0102459
47;59;Undirected;0.0163934
47;60;Undirected;0.0102459
48;49;Undirected;0.0143443
48;50;Undirected;0.0163934
48;55;Undirected;0.0143443
48;59;Undirected;0.0614754
48;60;Undirected;0.0286885
49;50;Undirected;0.0143443
49;55;Undirected;0.0122951
49;59;Undirected;0.0184426
49;60;Undirected;0.0122951
50;55;Undirected;0.0143443
50;59;Undirected;0.0614754
50;60;Undirected;0.0143443
52;58;Undirected;0.0122951
53;59;Undirected;0.0553279
53;60;Undirected;0.0245902
55;59;Undirected;0.0184426
55;60;Undirected;0.0122951
57;58;Undirected;0.0491803
59;60;Undirected;0.184426
