Source;Target;Type;Weight
0;6;Undirected;0.0241935
0;20;Undirected;0.0241935
0;22;Undirected;0.0483871
1;3;Undirected;0.0887097
1;4;Undirected;0.0443548
1;5;Undirected;0.0806452
1;24;Undirected;0.0362903
3;4;Undirected;0.0322581
3;5;Undirected;0.0282258
4;5;Undirected;0.0282258
5;24;Undirected;0.0201613
5;6;Undirected;0.0483871
6;7;Undirected;0.0241935
6;20;Undirected;0.0241935
6;22;Undirected;0.0483871
8;11;Undirected;0.0967742
9;10;Undirected;0.0483871
11;12;Undirected;0.0967742
12;22;Undirected;0.0604839
13;15;Undirected;0.0483871
16;21;Undirected;0.0241935
17;18;Undirected;0.0322581
17;19;Undirected;0.0322581
18;19;Undirected;0.0403226
19;21;Undirected;0.0322581
20;22;Undirected;0.0483871
