Source;Target;Type;Weight
0;1;Undirected;0.0403226
0;5;Undirected;0.0362903
0;18;Undirected;0.0241935
0;20;Undirected;0.0483871
0;22;Undirected;0.0201613
1;3;Undirected;0.0887097
1;4;Undirected;0.0443548
1;5;Undirected;0.104839
1;6;Undirected;0.0403226
1;18;Undirected;0.0403226
1;20;Undirected;0.0645161
1;22;Undirected;0.0362903
2;4;Undirected;0.0362903
3;4;Undirected;0.0322581
3;5;Undirected;0.0403226
3;6;Undirected;0.0282258
4;5;Undirected;0.0403226
4;6;Undirected;0.0282258
5;6;Undirected;0.0362903
5;18;Undirected;0.0362903
5;20;Undirected;0.0604839
5;22;Undirected;0.0322581
7;10;Undirected;0.145161
7;20;Undirected;0.0604839
8;9;Undirected;0.0483871
10;20;Undirected;0.0846774
11;13;Undirected;0.0483871
11;14;Undirected;0.0483871
13;14;Undirected;0.0483871
14;19;Undirected;0.0241935
15;16;Undirected;0.0322581
15;17;Undirected;0.0322581
15;18;Undirected;0.0241935
16;17;Undirected;0.0403226
17;19;Undirected;0.0322581
18;20;Undirected;0.0483871
18;21;Undirected;0.0201613
18;22;Undirected;0.0201613
20;22;Undirected;0.0443548
