Id;Label
0;Стандартизация (PK-5,UK-2)
1;Интеллектуальны(PK-1,PK-2,UK-2)
2;Информационные (PK-3,PK-4)
3;Представление з(PK-1,PK-2)
4;Мультиагентные (PK-1,PK-4)
5;Междисциплинаро(PK-1,UK-2)
6;Теория распозна(PK-1)
7;Орг. науч-иссл. и проект. деят.(OPK-3,OPK-4)
8;Английский язык(UK-4,UK-5)
9;Английский язык(UK-4,UK-5,UK-6)
10;Научно - исслед(OPK-3,OPK-4)
11;Интернет вещей(OPK-5,OPK-6)
12;Системы искусст(OPK-7)
13;Контрольно-изме(OPK-5,OPK-6)
14;Теория систем и(OPK-5,OPK-6,UK-1)
15;Методы оптимиза(OPK-2,OPK-8)
16;Интеллектуальны(OPK-2)
17;Моделирование с(OPK-1,OPK-2)
18;Управление прое(OPK-8,UK-2,UK-3)
19;Ознакомительная(OPK-1,UK-1)
20;Научно-исследов(OPK-3,UK-2)
21;Анализ требован(UK-3)
22;Цифровая обрабо(UK-2)
